vendor_id,vendor_name,category,country
V1001,Aeroflight Cargo,Logistics,DE
V1002,Aeroline Travel Desk,Travel,US
V1003,Atlas Facilities Group,Facilities,US
V1004,Bellhaven Systems,Hardware,DE
V1005,Brandt Wexler LLP,Professional Services,NL
V1006,Brightpath Staffing,Staffing,CA
V1007,Cirroflow Software,Software,US
V1008,CityLink Ground,Travel,US
V1009,Consolidated Utilities Co.,Utilities,DE
V1010,Corvus Technical Resourcing,Staffing,NL
V1011,Dijkstra Legal,Professional Services,CA
V1012,Ellison Contract Services,Staffing,DE
V1013,Expo Logistics Partners,Marketing,NL
V1014,Fielder Creative,Marketing,US
V1015,First Meridian Bank,Banking,US
V1016,Halberd Insurance Brokers,Insurance,DE
V1017,Harbourgate Properties,Facilities,CA
V1018,Havenzicht Shipping,Logistics,CA
V1019,ING Zakelijk,Banking,US
V1020,Kellwood Maintenance,Facilities,NL
V1021,Kestrel Freight Systems,Logistics,US
V1022,Ledgerworks Inc.,Software,US
V1023,Longhaul Distribution,Logistics,CA
V1024,Mediabureau Zwart,Marketing,DE
V1025,Meridian Lodging Program,Travel,DE
V1026,Northgate Advisory,Professional Services,NL
V1027,Northstar Analytics,Software,DE
V1028,Orbit Hardware Supply,Hardware,US
V1029,Palisade Consulting Group,Professional Services,NL
V1030,Ridgeline Carriers,Logistics,US
V1031,Sorensen & Hale,Professional Services,DE
V1032,Stratus Compute,Software,NL
V1033,Stroomnet Energie,Utilities,DE
V1034,Sundry Supplier,Other,DE
V1035,Technisch Onderhoud BV,Facilities,DE
V1036,Vantage Corporate Travel,Travel,NL
V1037,Various Card Settlement,Travel,US
V1042,Nordwind Logistics,Logistics,NL
V1088,NORDWIND LOG.,Logistics,NL
V1130,Nordwind Logistik B.V.,Logistics,NL
V1177,Nordwind Logistics BV,Logistics,NL
V1203,Delft Precision GmbH,Components,DE
V1251,Delft Precision,Components,DE
